,0,1
0,4.3648124,27.364166
1,15.797206,-3.433955
2,12.052662,38.397358
3,14.622668,35.07373
4,-15.7102165,4.4167585
5,6.7026644,29.774014
6,-6.2552705,-41.325253
7,9.118132,27.13209
8,-5.2997885,-4.1762805
9,6.390004,37.19606
10,-9.020471,9.576213
11,-9.194553,-40.96743
12,10.475364,30.46121
13,-2.9274576,13.730202
14,-16.040428,10.841864
15,-15.05242,5.542462
16,15.566491,-0.10710569
17,-10.75899,-39.76605
18,-9.075683,-35.40878
19,10.058759,35.542755
20,-22.386238,5.0190496
21,-5.677437,-34.199768
22,19.65495,0.42577365
23,-15.450245,11.757224
24,-10.0909195,-33.50097
25,14.742206,3.3537881
26,24.909134,-18.000517
27,-16.834602,12.700201
28,-4.874965,-1.4293903
29,-6.7059693,-1.7226496
30,-18.65431,1.716038
31,-20.818539,5.172736
32,-6.4398446,-37.66224
33,-2.9023747,12.238921
34,8.912503,29.440916
35,-20.594645,0.8032765
36,-11.609134,-38.6085
37,13.975597,5.473627
38,-7.385523,11.783649
39,-2.4898207,11.8279
40,-9.602024,-38.965904
41,7.7878046,31.688612
42,10.273606,31.285715
43,-11.0344305,-41.64374
44,-9.895376,-41.406143
45,-16.543709,1.5845789
46,8.275132,26.544758
47,23.37208,-19.674322
48,-16.739925,0.9907007
49,9.345385,-1.2304652
50,-17.857647,6.0945263
51,10.492792,-1.9780788
52,-3.9162714,0.60530865
53,7.1839514,33.519
54,26.398647,-20.914955
55,-2.6455023,1.9189525
56,-17.005854,8.956573
57,25.394945,-16.689224
58,-11.011095,-41.777874
59,-12.127102,7.6996
60,15.853548,-4.2814875
61,-7.212858,-27.889736
62,-12.001581,4.3098836
63,11.968052,-2.3723276
64,10.35879,36.170986
65,25.79752,-17.78838
66,-8.410763,7.556092
67,8.509964,36.40476
68,-11.029179,-36.765446
69,-3.071164,3.1683407
70,-13.005837,-41.96117
71,-7.1122036,9.037375
72,-6.4093504,9.8895445
73,12.0678215,-3.32051
74,-5.6135664,-3.024736
75,16.851835,-2.6063879
76,-12.778437,6.8877335
